id,lat,lon,area,depth,hydrolakes,elevation
lake_1,-55.75,-69.25,0.26,12.3,1119351,69
lake_2,-55.75,-68.25,0.23,8.52,1119362,78
lake_3,-55.75,-67.75,1.46,9.03,124023,6
lake_4,-55.75,-67.25,0.21,12.78,1119363,126
lake_5,-55.25,-70.75,3.39,19.91,124011,57
lake_6,-55.25,-70.25,0.8,19.36,1119210,3
lake_7,-55.25,-69.75,0.37,12.85,1119310,35
lake_8,-55.25,-69.25,16.29,52.09,10695,12
lake_9,-55.25,-68.75,0.56,12.39,1119344,19
lake_10,-55.25,-68.25,0.48,11,1119205,275
lake_11,-55.25,-67.75,22.82,17.53,10693,87
lake_12,-55.25,-67.25,31.98,23.02,10694,45
lake_13,-55.25,-66.75,2.06,14.42,124012,11
lake_14,-55.25,-66.25,0.23,13.97,1119183,78
lake_15,-54.75,-72.25,0.17,14.05,1118943,26
lake_16,-54.75,-71.75,1.11,18.44,123989,35
lake_17,-54.75,-71.25,0.44,13.8,1119118,364
lake_18,-54.75,-70.75,1.83,15.56,124000,90
lake_19,-54.75,-70.25,0.73,22.51,1119151,60
lake_20,-54.75,-69.75,0.2,11.03,1119142,77
lake_21,-54.75,-69.25,8.05,24.85,124004,158
lake_22,-54.75,-68.75,16.86,97.1,10692,4
lake_23,-54.75,-68.25,0.21,6.66,1118979,504
lake_24,-54.75,-67.75,586.81,449,1006,28
lake_25,-54.75,-67.25,4.6,20.47,124010,129
lake_26,-54.75,-66.75,1.54,20.16,123987,186
lake_27,-54.75,-66.25,0.45,6.97,1118981,14
lake_28,-54.75,-65.75,8.15,94.42,123999,2
lake_29,-54.75,-65.25,0.4,11.29,1118987,5
lake_30,-54.75,-64.75,0.47,15.35,1119093,139
lake_31,-54.75,-64.25,0.43,15.59,1119073,157
lake_32,-54.75,-63.75,0.14,16.93,1119058,125
lake_33,-54.75,158.75,0.44,13.94,1427688,187
lake_34,-54.25,-73.25,0.29,12.59,1118815,31
lake_35,-54.25,-72.75,0.43,13.45,1118758,95
lake_36,-54.25,-72.25,1.53,14.82,123970,0
lake_37,-54.25,-71.75,0.19,14.54,1118851,10
lake_38,-54.25,-71.25,0.45,12.21,1118872,12
lake_39,-54.25,-70.75,5.61,94.8,123974,2
lake_40,-54.25,-70.25,0.59,12.57,1118879,177
lake_41,-54.25,-69.75,0.11,10.04,1118833,14
lake_42,-54.25,-69.25,144.36,93.71,1005,120
lake_43,-54.25,-68.75,11.13,22.62,10688,169
lake_44,-54.25,-68.25,0.31,9.96,1118807,125
lake_45,-54.25,-67.75,38.1,25.15,10689,51
lake_46,-54.25,-67.25,0.17,6.59,1118902,89
lake_47,-54.25,-37.75,0.49,9.84,1118775,5
lake_48,-54.25,-37.25,0.11,12.83,1118786,2
lake_49,-54.25,-36.75,0.37,12.34,1118858,152
lake_50,-54.25,-36.25,0.26,15.2,1118865,72
lake_51,-53.75,-73.75,0.18,13.74,1118567,127
lake_52,-53.75,-73.25,0.65,16.19,1118576,84
lake_53,-53.75,-72.75,1.7,15.1,123950,111
lake_54,-53.75,-72.25,2.48,10.95,123941,3
lake_55,-53.75,-71.75,1.42,15.28,123957,27
lake_56,-53.75,-71.25,4.34,9.62,123947,239
lake_57,-53.75,-70.75,0.5,7.62,1118640,32
lake_58,-53.75,-70.25,0.84,16.56,1118696,8
lake_59,-53.75,-69.75,4.25,15.03,123960,253
lake_60,-53.75,-69.25,50.92,16.29,10686,150
lake_61,-53.75,-68.75,0.84,10.77,1118612,116
lake_62,-53.75,-67.75,3.46,6.38,123966,3
lake_63,-53.25,-74.25,3.1,20.62,123903,141
lake_64,-53.25,-73.75,4.01,94.95,123935,5
lake_65,-53.25,-73.25,2.02,12.22,123907,53
lake_66,-53.25,-72.75,2.42,47.93,123930,8
lake_67,-53.25,-72.25,3.96,98.16,123918,9
lake_68,-53.25,-71.75,2.22,18.01,123928,147
lake_69,-53.25,-71.25,10.06,23.14,10685,292
lake_70,-53.25,-70.25,16.59,99.13,10682,9
lake_71,-53.25,-69.75,0.68,12.95,1118479,279
lake_72,-53.25,-69.25,0.53,10.88,1118491,27
lake_73,-53.25,-68.75,1.36,13.73,123921,6
lake_74,-53.25,-68.25,73.75,76.76,10683,3
lake_75,-52.75,-74.75,0.47,10.99,1118282,43
lake_76,-52.75,-74.25,0.85,19.1,1118350,285
lake_77,-52.75,-73.75,0.36,11.14,1118240,-2
lake_78,-52.75,-73.25,2.32,73.96,123898,4
lake_79,-52.75,-72.75,14.26,20.68,10680,149
lake_80,-52.75,-72.25,25.61,14.72,10679,172
lake_81,-52.75,-71.75,1.77,15.41,123894,47
lake_82,-52.75,-71.25,16.61,76.48,10678,11
lake_83,-52.75,-70.75,35.22,97.23,10677,0
lake_84,-52.75,-70.25,0.8,13.31,1118286,0
lake_85,-52.75,-69.25,0.27,12.7,1118294,103
lake_86,-52.75,73.25,0.1,12.54,1427685,1
lake_87,-52.75,169.25,0.3,12.91,1427684,1
lake_88,-52.25,-74.75,1.13,20.79,123854,4
lake_89,-52.25,-74.25,7.59,98.88,123858,4
lake_90,-52.25,-73.75,0.32,10.59,1118003,40
lake_91,-52.25,-73.25,6.85,19.81,123868,50
lake_92,-52.25,-72.75,2.84,13.54,123856,170
lake_93,-52.25,-72.25,82.12,22.73,10675,49
lake_94,-52.25,-71.75,0.46,10.35,1118095,462
lake_95,-52.25,-71.25,168.22,55,1004,110
lake_96,-52.25,-70.75,0.13,12.01,1118169,276
lake_97,-52.25,-70.25,1.73,13.03,123850,106
lake_98,-52.25,-69.75,0.64,11.08,1118010,89
lake_99,-52.25,-60.75,0.42,13.69,1117987,51
lake_100,-52.25,-60.25,2.85,15.23,123852,0
lake_101,-52.25,-59.75,0.17,13.4,1118083,0
lake_102,-52.25,-59.25,0.23,13.98,1117989,43
lake_103,-52.25,-58.75,0.81,11.6,1117977,31
lake_104,-51.75,-75.25,0.43,11.81,1117640,12
lake_105,-51.75,-74.75,0.5,12.1,1117891,52
lake_106,-51.75,-74.25,0.26,14.94,1117645,3
lake_107,-51.75,-73.75,0.97,19.23,1117823,17
lake_108,-51.75,-73.25,0.94,22.11,1117631,114
lake_109,-51.75,-72.75,8.21,21.57,123796,46
lake_110,-51.75,-72.25,72.57,103.32,10674,7
lake_111,-51.75,-71.75,9.36,8.85,123819,135
lake_112,-51.75,-71.25,2.99,10.26,123823,104
lake_113,-51.75,-70.75,0.97,13.77,1117733,174
lake_114,-51.75,-70.25,7.27,14.02,123848,112
lake_115,-51.75,-69.75,3.01,8.55,123799,52
lake_116,-51.75,-69.25,0.17,12.87,1117663,10
lake_117,-51.75,-60.75,0.68,11.75,1117758,0
lake_118,-51.75,-60.25,1.26,12.34,123811,0
lake_119,-51.75,-59.75,1.05,11.73,123825,44
lake_120,-51.75,-59.25,1.37,12.08,123846,53
lake_121,-51.75,-58.75,1.5,12.18,123822,57
lake_122,-51.75,-58.25,0.71,11.6,1117777,26
lake_123,-51.75,-57.75,0.61,8.35,1117693,4
lake_124,-51.25,-75.25,0.62,14.41,1117506,6
lake_125,-51.25,-74.75,1.64,18.43,123771,2
lake_126,-51.25,-74.25,0.62,17.16,1117372,4
lake_127,-51.25,-73.75,1.59,15.37,123757,2
lake_128,-51.25,-73.25,6.92,20.48,123752,167
lake_129,-51.25,-72.75,189.73,315.69,1003,24
lake_130,-51.25,-72.25,9.99,22.7,123765,422
lake_131,-51.25,-71.75,2.62,7.75,123774,567
lake_132,-51.25,-70.75,1.58,12.58,123769,176
lake_133,-51.25,-70.25,0.53,9.43,1117523,92
lake_134,-51.25,-69.75,2.96,8.99,123755,37
lake_135,-51.25,-69.25,1.69,12.85,123788,80
lake_136,-51.25,-60.25,0.25,12.37,1117533,9
lake_137,-51.25,-59.75,0.13,13.64,1117518,4
lake_138,-51.25,-59.25,0.78,10.98,1117476,7
lake_139,-51.25,-58.75,0.24,9.31,1117490,5
lake_140,-51.25,-58.25,0.12,9.92,1117594,5
lake_141,-51.25,-57.75,4.97,41.71,123790,2
lake_142,-50.75,-75.25,0.31,9.83,1116992,6
lake_143,-50.75,-74.75,0.41,16.23,1117271,284
lake_144,-50.75,-74.25,1.08,16.7,123735,33
lake_145,-50.75,-73.75,1.98,14.57,123730,209
lake_146,-50.75,-73.25,11.45,15.52,10667,199
lake_147,-50.75,-72.75,120.9,64.63,1002,179
lake_148,-50.75,-72.25,1.23,11.99,123742,297
lake_149,-50.75,-71.75,0.4,7.75,1117003,1047
lake_150,-50.75,-71.25,0.22,7.64,1117222,323
lake_151,-50.75,-70.75,1.34,10.37,123711,323
lake_152,-50.75,-70.25,0.25,12.95,1117305,225
lake_153,-50.75,-69.75,0.98,6.72,1117255,137
lake_154,-50.75,-69.25,0.3,13.63,1117029,270
lake_155,-50.25,-75.25,1.39,16.63,123687,23
lake_156,-50.25,-74.75,2.62,45.42,123681,5
lake_157,-50.25,-74.25,3.31,98.2,123684,9
lake_158,-50.25,-73.75,8.73,95.23,123690,4
lake_159,-50.25,-73.25,5.18,18.12,123703,200
lake_160,-50.25,-72.75,0.32,5.85,1116711,1061
lake_161,-50.25,-72.25,1321.16,500,90,179
lake_162,-50.25,-71.75,0.54,3,1116951,737
lake_163,-50.25,-71.25,1.02,10.68,123675,843
lake_164,-50.25,-70.25,0.24,12.84,1116972,318
lake_165,-50.25,-69.75,1.92,6.02,123706,217
lake_166,-50.25,-69.25,0.15,8.51,1116893,351
lake_167,-50.25,-68.25,0.24,13.95,1116733,16
lake_168,-49.75,-75.75,1.01,10.6,123651,5
lake_169,-49.75,-75.25,2.45,16.62,123632,142
lake_170,-49.75,-74.75,0.49,13.26,1116482,123
lake_171,-49.75,-74.25,2.29,48.29,123665,6
lake_172,-49.75,-73.75,7.56,23.7,123640,14
lake_173,-49.75,-73.25,6.49,20.94,123666,200
lake_174,-49.75,-72.75,1194.65,396.47,89,252
lake_175,-49.75,-72.25,1.3,10.45,123631,251
lake_176,-49.75,-71.25,5.4,28.51,123672,826
lake_177,-49.75,-70.75,0.66,4.13,1116667,673
lake_178,-49.75,-70.25,0.65,5.07,1116559,551
lake_179,-49.75,-69.75,0.26,12.62,1116678,427
lake_180,-49.75,-69.25,0.28,10.14,1116659,25
lake_181,-49.75,-68.75,0.36,6.76,1116563,20
lake_182,-49.75,-68.25,0.52,7.58,1116566,51
lake_183,-49.75,-67.75,0.17,12.57,1116408,34
lake_184,-49.75,69.25,0.79,22.68,1427677,67
lake_185,-49.75,69.75,1.14,20.02,185181,164
lake_186,-49.25,-75.75,0.16,11.47,1116231,36
lake_187,-49.25,-75.25,1,20.1,1116370,129
lake_188,-49.25,-74.75,1.39,17.35,123615,276
lake_189,-49.25,-74.25,1.28,17.59,123601,77
lake_190,-49.25,-73.75,163.98,423.27,1000,150
lake_191,-49.25,-73.25,0.63,9.14,1116230,767
lake_192,-49.25,-72.75,8.76,26.71,123591,506
lake_193,-49.25,-72.25,0.49,4.94,1116274,996
lake_194,-49.25,-71.75,26.99,25.75,10663,269
lake_195,-49.25,-71.25,0.16,3.94,1116237,956
lake_196,-49.25,-70.75,4.41,8.84,123612,229
lake_197,-49.25,-70.25,0.15,14.89,1116382,167
lake_198,-49.25,-69.25,4.56,8.63,123614,34
lake_199,-49.25,-68.75,0.66,8.66,1116180,143
lake_200,-49.25,-68.25,3.12,5.74,123604,116
lake_201,-49.25,-67.75,33.46,104.39,10662,0
lake_202,-49.25,68.75,0.75,18.47,1427634,98
lake_203,-49.25,69.25,8.02,96.01,185162,3
lake_204,-49.25,69.75,1.13,19.08,185173,57
lake_205,-49.25,70.25,26.66,100.36,16689,-1
lake_206,-49.25,70.75,0.18,13.8,1427595,39
lake_207,-48.75,-75.75,1.58,14.72,123552,34
lake_208,-48.75,-75.25,0.49,11.94,1115844,259
lake_209,-48.75,-74.75,1.28,14.15,123554,23
lake_210,-48.75,-74.25,2.32,19.01,123544,243
lake_211,-48.75,-73.75,3.08,14.44,123545,100
lake_212,-48.75,-73.25,1.26,13.87,123553,292
lake_213,-48.75,-72.75,1012.01,836,88,252
lake_214,-48.75,-72.25,0.76,11.2,1115903,1311
lake_215,-48.75,-71.75,19.09,33.73,10659,1145
lake_216,-48.75,-71.25,349.24,76,1001,285
lake_217,-48.75,-70.75,0.75,5.61,1115906,748
lake_218,-48.75,-70.25,0.14,3.74,1116033,706
lake_219,-48.75,-69.25,1.14,10.53,123581,172
lake_220,-48.75,-68.75,3.74,10.12,123532,122
lake_221,-48.75,-68.25,3.67,7.3,123576,121
lake_222,-48.75,-67.75,2.49,8.96,123555,111
lake_223,-48.75,-67.25,0.76,10.95,1115948,46
lake_224,-48.75,68.75,1.82,17.37,185144,22
lake_225,-48.75,69.25,5.99,30.6,185146,13
lake_226,-48.75,69.75,0.31,11.44,1427551,18
lake_227,-48.25,-75.25,1.45,16.57,123470,126
lake_228,-48.25,-74.75,2.9,21.6,123450,50
lake_229,-48.25,-74.25,1.17,16.44,123468,133
lake_230,-48.25,-73.75,4.62,20.82,123518,74
lake_231,-48.25,-73.25,5.07,18.17,123500,186
lake_232,-48.25,-72.75,6.64,18.79,123496,369
lake_233,-48.25,-72.25,10.32,28.68,10653,516
lake_234,-48.25,-71.75,46.63,29.13,10656,1046
lake_235,-48.25,-71.25,96.9,32.83,10657,723
lake_236,-48.25,-70.75,1.6,8.52,123469,552
lake_237,-48.25,-70.25,0.61,14.33,1115568,422
lake_238,-48.25,-69.75,1.77,7.02,123461,574
lake_239,-48.25,-69.25,0.16,3.22,1115397,666
lake_240,-48.25,-68.75,0.19,11.9,1115417,425
lake_241,-48.25,-68.25,0.3,6.85,1115708,129
lake_242,-48.25,-67.75,1.31,14.62,123514,116
lake_243,-48.25,-67.25,0.2,10.21,1115586,56
lake_244,-48.25,-66.75,3.25,7.65,123509,12
lake_245,-48.25,-66.25,2.05,14.33,123454,29
lake_246,-47.75,-75.25,0.12,12.63,1115053,2
lake_247,-47.75,-74.75,0.95,18.75,1115181,7
lake_248,-47.75,-74.25,1.34,17.29,123402,207
lake_249,-47.75,-73.75,0.3,13.43,1115231,381
lake_250,-47.75,-73.25,0.52,6.47,1115254,890
lake_251,-47.75,-72.75,1.69,36.1,123444,636
lake_252,-47.75,-72.25,38.43,27.22,10647,810
lake_253,-47.75,-71.75,9.46,22.37,123428,963
lake_254,-47.75,-71.25,21.14,31.31,10649,1121
lake_255,-47.75,-70.75,3.75,19.1,123401,623
lake_256,-47.75,-70.25,0.66,5.15,1115285,494
lake_257,-47.75,-69.75,1.1,4.14,123403,660
lake_258,-47.75,-69.25,2.83,5.6,123404,693
lake_259,-47.75,-68.75,0.17,3.49,1115059,776
lake_260,-47.75,-68.25,0.19,9.77,1114998,330
lake_261,-47.75,-67.75,0.35,12.8,1115158,75
lake_262,-47.75,-67.25,1.06,15.02,123441,111
lake_263,-47.75,-66.75,11.29,10.72,10646,90
lake_264,-47.75,-66.25,1.15,11.49,123406,109
lake_265,-47.75,-65.75,1.68,11.84,123415,2
lake_266,-47.25,-74.25,3.88,20.59,123363,16
lake_267,-47.25,-73.75,1.29,14.78,123371,158
lake_268,-47.25,-73.25,3.65,31.72,123360,470
lake_269,-47.25,-72.75,5.54,19.02,123380,283
lake_270,-47.25,-72.25,19.7,37.11,10643,499
lake_271,-47.25,-71.75,298.94,460,999,152
lake_272,-47.25,-71.25,0.15,3.59,1114744,1382
lake_273,-47.25,-70.75,1.71,13.85,123375,438
lake_274,-47.25,-70.25,0.27,7.03,1114743,874
lake_275,-47.25,-69.75,4.53,8.47,123372,615
lake_276,-47.25,-69.25,1.94,5.32,123357,604
lake_277,-47.25,-68.75,0.21,6.65,1114906,755
lake_278,-47.25,-68.25,2.75,5.39,123386,222
lake_279,-47.25,-67.75,0.15,14.11,1114759,129
lake_280,-47.25,-67.25,0.16,10.31,1114778,177
lake_281,-47.25,-66.75,1.32,12.84,123378,108
lake_282,-47.25,-66.25,10.58,9.87,10639,41
lake_283,-47.25,-65.75,12.81,40.82,10640,0
lake_284,-46.75,-75.75,0.64,16.56,1114614,31
lake_285,-46.75,-75.25,0.78,18.92,1114569,19
lake_286,-46.75,-74.75,47.21,19.35,10635,26
lake_287,-46.75,-74.25,4.92,48.41,123339,8
lake_288,-46.75,-73.75,130.04,90,998,0
lake_289,-46.75,-73.25,5.91,15.77,123335,349
lake_290,-46.75,-72.75,66.13,85.68,10638,204
lake_291,-46.75,-72.25,3.63,26.6,123342,841
lake_292,-46.75,-71.75,3.85,22.95,123326,257
lake_293,-46.75,-71.25,1762.75,586,87,202
lake_294,-46.75,-70.75,0.48,6.2,1114702,1180
lake_295,-46.75,-70.25,0.25,6.36,1114618,509
lake_296,-46.75,-69.75,0.27,13.22,1114642,331
lake_297,-46.75,-69.25,0.69,4.61,1114705,1009
lake_298,-46.75,-68.75,3.71,9.94,123346,260
lake_299,-46.75,-67.75,0.22,8,1114575,69
lake_300,-46.75,-67.25,0.76,12.4,1114709,224
lake_301,-46.75,167.75,0.1,7.25,1427543,600
lake_302,-46.75,168.75,0.18,16.37,1427541,2
lake_303,-46.75,169.25,0.38,8.45,1427542,10
lake_304,-46.25,-75.25,1.18,14.8,123300,21
lake_305,-46.25,-74.75,12.68,98.82,10632,4
lake_306,-46.25,-74.25,293.79,294.15,997,16
lake_307,-46.25,-73.75,3.66,17.39,123317,58
lake_308,-46.25,-73.25,0.42,6.89,1114528,579
lake_309,-46.25,-72.75,0.95,16.33,1114453,599
lake_310,-46.25,-72.25,25.27,49.84,10633,481
lake_311,-46.25,-71.75,0.6,17.99,1114495,420
lake_312,-46.25,-71.25,0.45,8.11,1114545,204
lake_313,-46.25,-70.75,0.19,5.1,1114411,759
lake_314,-46.25,-70.25,0.2,4.62,1114420,555
lake_315,-46.25,-68.75,0.31,5.7,1114434,534
lake_316,-46.25,-67.75,0.9,13.45,1114466,3
lake_317,-46.25,166.75,4.86,95.24,185141,5
lake_318,-46.25,167.25,42.21,99.45,16688,30
lake_319,-46.25,167.75,0.91,9.53,1427539,0
lake_320,-46.25,168.25,6.14,40.41,185143,2
lake_321,-46.25,168.75,0.17,5.91,1427536,67
lake_322,-46.25,169.75,1.14,13.64,185142,1
lake_323,-46.25,170.25,5.52,36.14,185139,-1
lake_324,-45.75,-74.75,0.92,17.82,1114403,632
lake_325,-45.75,-74.25,1.06,17.74,123287,13
lake_326,-45.75,-73.75,4.97,16.65,123284,24
lake_327,-45.75,-73.25,1.32,13.51,123281,779
lake_328,-45.75,-72.75,5.39,13,123278,53
lake_329,-45.75,-72.25,7.19,25.02,123297,328
lake_330,-45.75,-71.75,8.15,32.24,123289,677
lake_331,-45.75,-71.25,0.3,5.07,1114373,509
lake_332,-45.75,-70.75,0.96,6.4,1114310,519
lake_333,-45.75,-70.25,0.26,8.27,1114266,532
lake_334,-45.75,-69.75,0.38,3.48,1114287,678
lake_335,-45.75,-68.75,0.31,10.83,1114333,351
lake_336,-45.75,166.75,0.77,23.04,1427525,53
lake_337,-45.75,167.25,67.91,462,16687,157
lake_338,-45.75,167.75,132.54,444,1708,181
lake_339,-45.75,169.75,14.35,23.42,16686,388
lake_340,-45.75,170.25,1.76,6.8,185138,-1
lake_341,-45.75,170.75,0.39,8.32,1427488,2
lake_342,-45.25,-74.75,0.25,11.28,1114196,42
lake_343,-45.25,-74.25,7.32,99.38,123274,6
lake_344,-45.25,-73.75,6.64,30.95,123262,13
lake_345,-45.25,-73.25,1.12,12.82,123277,718
lake_346,-45.25,-72.75,55.13,123.23,10628,489
lake_347,-45.25,-72.25,8.67,13.24,123259,69
lake_348,-45.25,-71.75,1.67,12.59,123263,829
lake_349,-45.25,-71.25,6.36,6.46,123270,794
lake_350,-45.25,-70.75,0.49,2.75,1114186,645
lake_351,-45.25,-70.25,0.69,4.85,1114241,530
lake_352,-45.25,-69.75,0.38,3,1114167,580
lake_353,-45.25,-69.25,410.82,38.5,995,270
lake_354,-45.25,-68.75,623.85,5.5,996,253
lake_355,-45.25,-66.75,0.34,9.81,1114173,77
lake_356,-45.25,166.75,0.47,14.31,1427472,415
lake_357,-45.25,167.25,0.37,12.2,1427443,290
lake_358,-45.25,167.75,332.92,425,1707,204
